task_order,image_stim,match,corr_key,TOL_loop.thisRepN,TOL_loop.thisTrialN,TOL_loop.thisN,TOL_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,stim_image.started,stim_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_two_move\stim_two_move_4.jpg,1,right,0,0,0,0,0,0,0,0,35.75042300000041,None,right,1,0.8862343000000692,35.75042300000041,None,28.766972600000372,35.7670920999999,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_two_move\stim_two_move_3.jpg,1,right,0,0,0,0,0,1,1,1,45.70059390000006,None,right,1,0.6480566000000181,45.70059390000006,None,38.71713120000004,45.71723660000043,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_4.jpg,0,left,0,0,0,0,0,2,2,2,55.700739500000054,None,left,1,2.2480011000006925,55.700739500000054,None,48.717318400000295,55.717421500000455,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_two_move\stim_two_move_1.jpg,1,right,0,0,0,0,0,3,3,3,65.70087250000051,None,right,1,0.4557272000001831,65.70087250000051,None,58.71745150000061,65.71757010000056,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_3.jpg,0,left,0,0,0,0,0,4,4,4,75.70105539999986,None,left,1,0.7116629000001922,75.70105539999986,None,68.71756710000045,75.71771450000051,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_5.jpg,0,left,0,0,0,0,0,5,5,5,85.70122190000075,None,None,0,,85.70122190000075,None,78.71781340000052,85.71786690000044,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-1652909862558553.csv,,,,0,0,0,0,,,,,,,,,,,,,,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_3.jpg,0,left,0,1,1,1,0,0,0,0,99.70143000000007,None,left,1,0.4391557000008106,99.70143000000007,None,92.73462520000066,99.73475300000064,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_5.jpg,0,left,0,1,1,1,0,1,1,1,109.71824310000011,102.71814710000035,left,1,0.37440760000026785,109.71824310000011,102.71814710000035,102.71814710000035,109.71824310000011,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_1.jpg,0,left,0,1,1,1,0,2,2,2,119.71840990000055,None,left,1,0.35831450000023324,119.71840990000055,None,112.7349807999999,119.73510380000062,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_4.jpg,0,left,0,1,1,1,0,3,3,3,129.71856350000053,None,left,1,0.4219987999995283,129.71856350000053,None,122.73513460000049,129.73524480000015,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_6.jpg,0,left,0,1,1,1,0,4,4,4,139.71871360000023,None,left,1,0.29389999999966676,139.71871360000023,None,132.7352879,139.73539580000033,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,zero_move_stimuli\zero_move_2.jpg,0,left,0,1,1,1,0,5,5,5,149.7188801000002,None,left,1,0.3737527000002956,149.7188801000002,None,142.7354705000007,149.7355434000001,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625460773.csv,,,,0,1,1,1,,,,,,,,,,,,,,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_two_move\stim_two_move_6.jpg,1,right,0,2,2,2,0,0,0,0,164.85245639999994,None,right,1,0.45635009999932663,164.85245639999994,None,157.86901190000026,164.86911930000042,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_two_move\stim_two_move_5.jpg,1,right,0,2,2,2,0,1,1,1,174.85261489999994,None,right,1,0.3280560000002879,174.85261489999994,None,167.86920760000066,174.86926230000063,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_5.jpg,0,left,0,2,2,2,0,2,2,2,184.85277210000004,None,left,1,0.9997517000001608,184.85277210000004,None,177.86933050000061,184.8694286,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_4.jpg,0,left,0,2,2,2,0,3,3,3,194.8529182000002,None,left,1,0.9519811999998637,194.8529182000002,None,187.86947390000023,194.86957239999992,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_3.jpg,0,left,0,2,2,2,0,4,4,4,204.85308040000018,None,left,1,0.6956319999999323,204.85308040000018,None,197.86962820000008,204.86975540000003,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,multi_move_stimuli\stim_two_move\stim_two_move_1.jpg,1,right,0,2,2,2,0,5,5,5,214.85323730000073,None,right,1,0.4234280000000581,214.85323730000073,None,207.86980350000067,214.86989260000064,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625736775.csv,,,,0,2,2,2,,,,,,,,,,,,,,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_4.jpg,0,left,0,3,3,3,0,0,0,0,228.90346130000034,None,left,1,0.26140050000049087,228.90346130000034,None,221.9199950000002,228.92013159999988,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_2.jpg,0,left,0,3,3,3,0,1,1,1,238.9036044000004,None,left,1,0.32501090000005206,238.9036044000004,None,231.9201739,238.92028879999998,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_5.jpg,0,left,0,3,3,3,0,2,2,2,248.90377530000023,None,left,1,0.5010406999999759,248.90377530000023,None,241.92037940000046,248.9204405999999,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_3.jpg,0,left,0,3,3,3,0,3,3,3,258.9039354000006,None,left,1,0.5169750999993994,258.9039354000006,None,251.92048729999988,258.9205834000004,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_1.jpg,0,left,0,3,3,3,0,4,4,4,268.9040767000006,None,left,1,0.5326197000003958,268.9040767000006,None,261.92065320000074,268.9207387000006,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,zero_move_stimuli\zero_move_6.jpg,0,left,0,3,3,3,0,5,5,5,278.9042521000001,None,left,1,0.4844198000000688,278.9042521000001,None,271.9207943000001,278.9209281000003,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
ZM_stims-16529098625593555.csv,,,,0,3,3,3,,,,,,,,,,,,,,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625892174.csv,multi_move_stimuli\stim_two_move\stim_two_move_2.jpg,1,right,0,4,4,4,0,0,0,0,292.9044579000001,None,left,0,0.82009620000008,292.9044579000001,None,285.93769109999994,292.93781560000025,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
MM_stims-16529098625892174.csv,multi_move_stimuli\stim_two_move\stim_two_move_3.jpg,1,right,0,4,4,4,0,1,1,1,302.90455999999995,295.9211647000002,right,1,0.42025900000044203,302.90455999999995,295.9211647000002,295.9211647000002,302.92127770000025,02,001,2022_Jun_17_1452,tower_of_london,2021.2.3,59.98206536249507,
