task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TB-1652909862527356.csv,0,0,left,,0,0,0,0,0,0,0,0,39.317639099999724,39.81761069999993,left,1,0.5460985999998229,39.317639099999724,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,7,0,left,,0,0,0,0,0,1,1,1,42.81769410000015,43.31769379999969,left,1,0.5661399000000529,42.81769410000015,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,6,0,left,,0,0,0,0,0,2,2,2,46.317747600000075,46.817716600000495,left,1,0.5219177999997555,46.317747600000075,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,7,1,right,,0,0,0,0,0,3,3,3,49.817771600000015,50.317806400000336,right,1,0.33412289999978384,49.817771600000015,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,2,0,left,,0,0,0,0,0,4,4,4,53.31785080000009,53.81782410000051,left,1,0.3700872999997955,53.31785080000009,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,7,1,right,,0,0,0,0,0,5,5,5,56.81791080000039,57.31791200000043,right,1,0.4859018000006472,56.81791080000039,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,9,0,left,,0,0,0,0,0,6,6,6,60.31796850000046,60.817940400000225,left,1,1.1138726999997743,60.31796850000046,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,1,0,left,,0,0,0,0,0,7,7,7,63.81801369999994,64.31802900000002,left,1,0.4617083000002822,63.81801369999994,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,9,1,right,,0,0,0,0,0,8,8,8,67.31806380000035,67.81807219999973,right,1,0.3535673999995197,67.31806380000035,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,2,0,left,,0,0,0,0,0,9,9,9,70.81813950000014,71.31813070000044,left,1,0.3735273000002053,70.81813950000014,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,8,0,left,,0,0,0,0,0,10,10,10,74.31820570000036,74.81817520000004,left,1,0.42567090000011376,74.31820570000036,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,2,1,right,,0,0,0,0,0,11,11,11,77.81823780000013,78.3182625999998,left,0,0.7014622000006057,77.81823780000013,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,8,1,right,,0,0,0,0,0,12,12,12,81.31829689999995,81.81828450000012,right,1,0.353489900000568,81.31829689999995,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,5,0,left,,0,0,0,0,0,13,13,13,84.81834830000025,85.31835580000006,left,1,0.6772257000002355,84.81834830000025,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,7,0,left,,0,0,0,0,0,14,14,14,88.31840089999969,88.81841749999967,left,1,0.4412131999997655,88.31840089999969,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,5,1,right,,0,0,0,0,0,15,15,15,91.81844249999995,92.31845140000041,right,1,0.33340169999974023,91.81844249999995,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,7,1,right,,0,0,0,0,0,16,16,16,95.31852170000002,95.81852189999972,left,0,0.545242799999869,95.31852170000002,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,5,1,right,,0,0,0,0,0,17,17,17,98.81853620000038,99.31856669999979,right,1,0.8533706999996866,98.81853620000038,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,6,0,left,,0,0,0,0,0,18,18,18,102.31860899999992,102.81861449999997,left,1,0.5052163000000292,102.31860899999992,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,9,0,left,,0,0,0,0,0,19,19,19,105.81869449999976,106.31869300000017,right,0,0.5411082000000533,105.81869449999976,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
TB-1652909862527356.csv,,,,,0,0,0,0,,,,,,,,,,,,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
ZB-match_9-16529098616027555.csv,9,1,right,9,0,1,1,1,0,0,0,0,122.36896609999985,122.86893260000033,right,1,0.40690189999986615,122.36896609999985,None,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
ZB-match_9-16529098616027555.csv,9,1,right,9,0,1,1,1,0,1,1,1,125.86898780000047,126.36898639999981,right,1,0.3787032000000181,125.86898780000047,125.86898780000047,02,001,2022_Jun_17_1440,n_back,2021.2.3,60.0228206763731,
