task_order,stim_time,inter_stim_time,x_pos,y_pos,match,corr_key,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,response_sound.started,response_sound.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
SAT_stims-1652909861486579.csv,0.05,3,0,0,0,left,0,0,0,0,0,16,16,16,66.97876259999998,None,69.97881540000003,None,left,1,0.4180886999999984,70.02881249999996,None,70.11213894000007,None,70.46214883999987,70.97882729999992,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.05,1,0,0,1,right,0,0,0,0,0,17,17,17,70.99549520000005,None,71.99549479999996,None,right,1,0.35332919999996193,72.04550909999989,None,72.12883863999996,None,72.4454939799999,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.017,2,0,0,0,left,0,0,0,0,0,18,18,18,72.96218369999997,None,74.96223149999992,None,left,1,0.7631971000000703,74.99554979999994,None,75.07889363999998,None,75.77888113999988,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.028999999999999998,1,0,0,0,left,0,0,0,0,0,19,19,19,76.29557840000007,None,77.29559289999997,None,left,1,0.46175110000012864,77.32895789999998,None,77.4122514399999,None,77.82891518000005,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.028999999999999998,3,0,0,1,right,0,0,0,0,0,20,20,20,78.34559999999988,None,81.34566599999994,None,right,1,0.28390479999984564,81.37897810000004,None,81.46231354000001,None,81.69564978000002,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.017,3,0,0,0,left,0,0,0,0,0,21,21,21,82.2123454,None,85.21238879999987,None,left,1,0.6409779000000526,85.2457101,None,85.32904203999992,None,85.91238013999991,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.017,1,0,0,0,left,0,0,0,0,0,22,22,22,86.42903389999992,None,87.42908680000005,None,left,1,0.7602133000000322,87.46242050000001,None,87.54571953999998,None,88.24577284000001,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.028999999999999998,1,0,0,0,left,0,0,0,0,0,23,23,23,88.74579449999987,None,89.74578339999994,None,left,1,0.5875826999999845,89.77913209999997,None,89.8624107399999,None,90.39577394000007,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.028999999999999998,1,0,0,0,left,0,0,0,0,0,24,24,24,90.91249670000002,None,91.91248960000007,None,left,1,0.5810710000000654,91.94579380000005,None,92.02913713999992,None,92.54582714000007,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.017,2,0,0,1,right,0,0,0,0,0,25,25,25,93.04586790000008,None,95.04584329999989,None,right,1,0.2635526999999911,95.07917999999995,None,95.16254024000004,None,95.37916688000004,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.05,1,0,0,0,left,0,0,0,0,0,26,26,26,95.89588460000004,None,96.89590279999993,None,left,1,0.6530555000001641,96.94589489999998,None,97.02921703999986,None,97.62922884000004,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.028999999999999998,3,0,0,1,right,0,0,0,0,0,27,27,27,98.14592279999988,None,101.1459534999999,None,right,1,0.3397165000001223,101.17929800000002,None,101.26261404000006,None,101.56262417999991,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.05,1,0,0,1,right,0,0,0,0,0,28,28,28,102.07933600000001,None,103.07932970000002,None,right,1,0.37342119999993884,103.12932610000007,None,103.21264683999998,None,103.54597997999994,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,0.05,3,0,0,1,right,0,0,0,0,0,29,29,29,104.04599660000008,None,107.04606039999999,None,right,1,0.4227560000001631,107.09604839999997,None,107.17938803999986,None,107.56271047999994,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-1652909861486579.csv,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,2,0.25,-0.25,1,right,0,1,1,1,0,0,0,0,111.74615870000002,None,113.7461687,None,right,1,0.4906968999998753,113.79616979999992,None,113.87951434000006,None,114.32948717999997,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,1,0.25,0.25,1,right,0,1,1,1,0,1,1,1,114.8461812999999,None,115.8461683999999,None,right,1,0.3751082999999653,115.87951840000005,None,115.9628459399999,None,116.29615578000002,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,2,0.25,-0.25,0,left,0,1,1,1,0,2,2,2,116.79621440000005,None,118.79623990000005,None,left,1,0.38518999999996595,118.82957859999988,None,118.91287844000003,None,119.26289697999991,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,3,-0.25,-0.25,0,left,0,1,1,1,0,3,3,3,119.77959529999998,None,122.7796358999999,None,left,1,0.4973600999999235,122.82962659999998,None,122.91296384000002,None,123.36297498000008,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,1,-0.25,-0.25,1,right,0,1,1,1,0,4,4,4,123.87964529999999,None,124.87967320000007,None,left,0,0.42963669999994636,124.91301109999995,None,124.99633943999997,None,125.36297003999998,125.87971399999992,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,1,-0.25,-0.25,1,right,0,1,1,1,0,5,5,5,125.89634550000005,None,126.8963667999999,None,right,1,0.4764668000000256,126.9463647,None,127.02966943999995,None,127.46302178000005,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,1,0.0,0.0,0,left,0,1,1,1,0,6,6,6,127.97971860000007,None,128.9797228,None,left,1,0.5531751999999415,129.02972939999995,None,129.11306384000005,None,129.61308253999988,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
