task_order,image_stim,match,corr_key,TOL_loop.thisRepN,TOL_loop.thisTrialN,TOL_loop.thisN,TOL_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,stim_image.started,stim_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_2.jpg,0,left,0,0,0,0,0,0,0,0,51.20213489999969,None,right,0,0.7908298000002105,51.20213489999969,None,44.21877509999922,51.21884019999925,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_two_move\stim_two_move_1.jpg,1,right,0,0,0,0,0,1,1,1,61.15230589999919,None,right,1,0.6326624999992418,61.15230589999919,None,54.16887469999983,61.168948999999884,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_two_move\stim_two_move_3.jpg,1,right,0,0,0,0,0,2,2,2,71.15243509999982,None,right,1,0.856727200000023,71.15243509999982,None,64.16901609999968,71.16912899999988,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_5.jpg,0,left,0,0,0,0,0,3,3,3,81.15256549999958,None,left,1,0.5844548000004579,81.15256549999958,None,74.16916479999963,81.16923989999941,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_two_move\stim_two_move_2.jpg,1,right,0,0,0,0,0,4,4,4,91.15270629999941,None,right,1,0.6322798000001058,91.15270629999941,None,84.16929479999999,91.1693725999994,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,multi_move_stimuli\stim_not_two_move\stim_not_two_move_3.jpg,0,left,0,0,0,0,0,5,5,5,101.15285079999921,None,left,1,0.4081099000004542,101.15285079999921,None,94.16940040000009,101.16949819999991,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610424619.csv,,,,0,0,0,0,,,,,,,,,,,,,,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_1.jpg,0,left,0,1,1,1,0,0,0,0,116.4363601999994,None,left,1,0.596443200000067,116.4363601999994,None,109.46962279999934,116.46970519999923,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_3.jpg,0,left,0,1,1,1,0,1,1,1,126.45317339999929,119.45314729999973,left,1,0.4197418000003381,126.45317339999929,119.45314729999973,119.45314729999973,126.45317339999929,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_2.jpg,0,left,0,1,1,1,0,2,2,2,136.4532749,None,left,1,0.5635408999996798,136.4532749,None,129.46987089999948,136.46995799999968,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_4.jpg,0,left,0,1,1,1,0,3,3,3,146.4534361999995,None,left,1,0.49934790000042995,146.4534361999995,None,139.46998259999964,146.47009739999976,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_5.jpg,0,left,0,1,1,1,0,4,4,4,156.45355349999954,None,left,1,0.6432346000001417,156.45355349999954,None,149.47015079999983,156.47023059999992,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,zero_move_stimuli\zero_move_6.jpg,0,left,0,1,1,1,0,5,5,5,166.4536877999999,None,left,1,0.6429947000005996,166.4536877999999,None,159.4702701999995,166.47036039999966,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
ZM_stims-16529098610307486.csv,,,,0,1,1,1,,,,,,,,,,,,,,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610584273.csv,multi_move_stimuli\stim_two_move\stim_two_move_2.jpg,1,right,0,2,2,2,0,0,0,0,180.7872209999996,None,right,1,0.613501400000132,180.7872209999996,None,173.80378849999943,180.80386159999944,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
MM_stims-16529098610584273.csv,multi_move_stimuli\stim_two_move\stim_two_move_6.jpg,1,right,0,2,2,2,0,1,1,1,190.7873552000001,None,right,1,0.8373188999994454,190.7873552000001,None,183.80393299999923,190.80402229999982,01,001,2022_Jun_15_1603,tower_of_london,2021.2.3,59.99541635042885,
