470.9357 	DATA 	Keypress: o
471.1861 	DATA 	Keypress: space
471.4527 	DATA 	Keypress: r
471.6026 	DATA 	Keypress: u
471.8030 	DATA 	Keypress: n
472.0366 	DATA 	Keypress: s
472.2689 	DATA 	Keypress: space
472.7870 	DATA 	Keypress: backspace
472.9190 	DATA 	Keypress: backspace
473.0698 	DATA 	Keypress: backspace
473.1870 	DATA 	Keypress: backspace
473.3360 	DATA 	Keypress: backspace
473.8196 	DATA 	Keypress: i
473.9522 	DATA 	Keypress: s
474.0700 	DATA 	Keypress: space
474.2027 	DATA 	Keypress: a
474.3692 	DATA 	Keypress: b
474.9358 	DATA 	Keypress: backspace
475.1862 	DATA 	Keypress: n
475.3358 	DATA 	Keypress: space
475.4366 	DATA 	Keypress: a
475.7358 	DATA 	Keypress: u
475.9531 	DATA 	Keypress: t
476.0529 	DATA 	Keypress: h
476.3362 	DATA 	Keypress: o
477.4193 	DATA 	Keypress: r
477.6031 	DATA 	Keypress: space
477.8199 	DATA 	Keypress: o
478.0363 	DATA 	Keypress: f
478.1690 	DATA 	Keypress: space
478.4363 	DATA 	Keypress: a
478.6356 	DATA 	Keypress: space
479.2034 	DATA 	Keypress: n
479.3700 	DATA 	Keypress: e
479.6032 	DATA 	Keypress: w
480.2694 	DATA 	Keypress: p
480.3861 	DATA 	Keypress: a
480.5529 	DATA 	Keypress: p
480.7534 	DATA 	Keypress: e
480.9368 	DATA 	Keypress: r
483.4700 	DATA 	Keypress: comma
483.7191 	DATA 	Keypress: space
484.9698 	DATA 	Keypress: backspace
485.7527 	DATA 	Keypress: backspace
486.0033 	DATA 	Keypress: period
486.2695 	DATA 	Keypress: space
486.4201 	DATA 	Keypress: capslock
486.4860 	DATA 	Keypress: h
486.6533 	DATA 	Keypress: capslock
486.8700 	DATA 	Keypress: e
487.3032 	DATA 	Keypress: space
487.5197 	DATA 	Keypress: s
487.7358 	DATA 	Keypress: e
487.8864 	DATA 	Keypress: e
488.1199 	DATA 	Keypress: s
488.4200 	DATA 	Keypress: space
488.7530 	DATA 	Keypress: t
488.8701 	DATA 	Keypress: h
489.5364 	DATA 	Keypress: backspace
489.6698 	DATA 	Keypress: backspace
490.0361 	DATA 	Keypress: capslock
490.3034 	DATA 	Keypress: d
490.4364 	DATA 	Keypress: capslock
490.6358 	DATA 	Keypress: e
490.8195 	DATA 	Keypress: a
491.1865 	DATA 	Keypress: n
492.2027 	DATA 	Keypress: space
492.4201 	DATA 	Keypress: capslock
492.5528 	DATA 	Keypress: m
492.6365 	DATA 	Keypress: capslock
492.8858 	DATA 	Keypress: a
493.1192 	DATA 	Keypress: c
493.3367 	DATA 	Keypress: a
493.8196 	DATA 	Keypress: backspace
493.9360 	DATA 	Keypress: capslock
494.0868 	DATA 	Keypress: a
494.5027 	DATA 	Keypress: capslock
494.5365 	DATA 	Keypress: tab
494.8199 	DATA 	Keypress: l
495.0033 	DATA 	Keypress: l
495.9367 	DATA 	Keypress: e
496.1362 	DATA 	Keypress: n
496.7025 	DATA 	Keypress: space
496.8034 	DATA 	Keypress: a
496.9698 	DATA 	Keypress: n
497.1037 	DATA 	Keypress: d
497.2035 	DATA 	Keypress: space
497.7029 	DATA 	Keypress: a
497.9193 	DATA 	Keypress: s
498.1030 	DATA 	Keypress: k
498.2695 	DATA 	Keypress: s
498.5199 	DATA 	Keypress: space
498.6863 	DATA 	Keypress: a
498.8535 	DATA 	Keypress: space
