task_order,stim_time,inter_stim_time,x_pos,y_pos,match,corr_key,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,response_sound.started,response_sound.stopped,feedback_sound.started,feedback_sound.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
SAT_stims-16529098589598534.csv,0.017,3,0,0,0,left,0,0,0,0,0,17,17,17,104.52275680000002,None,107.522786,None,left,1,107.55612940000037,None,107.63946170000008,108.0728009000004,108.20611820000022,None,0.632824900000287,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.028999999999999998,3,0,0,1,right,0,0,0,0,0,18,18,18,108.7228167000003,None,111.7228498000004,None,right,1,111.75618359999999,None,111.83951780000007,None,112.1728377000004,None,0.369018099999721,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.017,2,0,0,1,right,0,0,0,0,0,19,19,19,112.68955170000027,None,114.68955640000013,None,left,0,114.72288150000031,None,114.80618700000014,None,115.20623250000017,None,0.4420620000000781,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.017,1,0,0,1,right,0,0,0,0,0,20,20,20,115.72290320000002,None,116.72292520000019,None,right,1,116.75626520000014,None,116.83956380000018,None,117.20623830000022,None,0.40873740000006364,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.05,3,0,0,0,left,0,0,0,0,0,21,21,21,117.72292779999998,None,120.7229712000003,None,right,0,120.77296520000027,None,120.85627120000026,None,121.2729545000002,None,0.45594560000017736,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.028999999999999998,3,0,0,1,right,0,0,0,0,0,22,22,22,121.78962530000035,None,124.78965749999998,None,right,1,124.82300890000033,None,124.90631100000019,None,125.2897009000003,None,0.4222082999999657,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.028999999999999998,3,0,0,0,left,0,0,0,0,0,23,23,23,125.80636870000035,None,128.80639790000032,None,left,1,128.83972800000038,None,128.92306000000008,None,129.40638830000034,None,0.5490098000000216,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.017,3,0,0,1,right,0,0,0,0,0,24,24,24,129.9230862000004,None,132.92312100000026,None,right,1,132.95645130000003,None,133.03979270000036,None,133.40642220000018,None,0.416457199999968,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.017,1,0,0,1,right,0,0,0,0,0,25,25,25,133.92315050000025,None,134.92315260000032,None,right,1,134.9564889000003,None,135.03982010000027,None,135.4231103000002,None,0.43232920000036756,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.028999999999999998,3,0,0,1,right,0,0,0,0,0,26,26,26,135.93983590000016,None,138.93987560000005,None,right,1,138.97317880000037,None,139.0565370000004,None,139.38989250000031,None,0.3677637999999206,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.05,3,0,0,0,left,0,0,0,0,0,27,27,27,139.9065542000003,None,142.9065802,None,right,0,142.9566093000003,None,143.03992440000002,None,143.47324900000012,143.9733051000003,0.49622210000006817,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.017,1,0,0,1,right,0,0,0,0,0,28,28,28,143.9899429000002,None,144.98996110000007,None,right,1,145.02328960000023,None,145.10661270000037,None,145.4399451000004,None,0.38164569999980813,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,0.028999999999999998,2,0,0,0,left,0,0,0,0,0,29,29,29,145.9566345000003,None,147.95665959999997,None,left,1,147.9899830000004,None,148.07332850000012,None,148.73999300000014,None,0.7275841000000582,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
SAT_stims-16529098589598534.csv,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,3,0.25,0.25,1,right,0,1,1,1,0,0,0,0,157.6568057000004,None,160.6568185000001,None,right,1,160.70682950000037,None,160.79013550000036,None,161.22347430000036,None,0.47413090000009106,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,0.25,0.25,0,left,0,1,1,1,0,1,1,1,161.7401675000001,None,162.74017380000032,None,left,1,162.7735232,None,162.85684840000022,None,163.32351890000018,None,0.5192918000002464,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,2,0.0,0.0,0,left,0,1,1,1,0,2,2,2,163.8401847,None,165.8402540000002,None,left,1,165.87357190000012,None,165.9568879000003,None,166.50688400000035,None,0.6033020999998371,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,0.0,0.0,0,left,0,1,1,1,0,3,3,3,167.02355480000006,None,168.02356910000026,None,left,1,168.05693800000017,None,168.1402468000001,None,168.6069094000004,None,0.5158950000000004,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,2,0.25,0.25,0,left,0,1,1,1,0,4,4,4,169.12358919999997,None,171.12362759999996,None,left,1,171.1569568,None,171.24028830000043,None,171.85698170000023,None,0.6798347999997532,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,0.0,0.0,0,left,0,1,1,1,0,5,5,5,172.37364160000016,None,173.373646,None,left,1,173.4069787000003,None,173.49032030000035,None,173.95697540000037,None,0.509918899999775,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,2,0.25,0.25,1,right,0,1,1,1,0,6,6,6,174.47367359999998,None,176.47368470000038,None,right,1,176.5070326,None,176.59036220000007,None,176.99032190000025,None,0.44971099999975195,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,3,-0.25,0.25,1,right,0,1,1,1,0,7,7,7,177.50703870000007,None,180.50708340000028,None,left,0,180.54042620000018,None,180.6237328000002,None,180.92373400000042,None,0.33659810000017387,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,1,0.0,0.0,0,left,0,1,1,1,0,8,8,8,181.44041140000036,None,182.4404574,None,left,1,182.4904308,None,182.5737825000001,None,183.3737583000002,None,0.8662896000000728,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,2,-0.25,-0.25,1,right,0,1,1,1,0,9,9,9,183.8904467000002,None,185.8904908000004,None,right,1,185.9238166,None,186.00715190000028,None,186.5404870000002,None,0.601012599999649,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,-0.25,-0.25,1,right,0,1,1,1,0,10,10,10,187.05718539999998,None,188.0571888000004,None,right,1,188.09050790000038,None,188.17383840000002,None,188.55717100000038,None,0.4184351999997489,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,-0.25,0.25,0,left,0,1,1,1,0,11,11,11,189.0738462000004,None,190.07386730000007,None,right,0,190.10720179999998,None,190.1905343000003,None,190.62387860000035,None,0.48147289999997156,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,1,-0.25,-0.25,1,right,0,1,1,1,0,12,12,12,191.12388330000022,None,192.1238959000002,None,right,1,192.1572259000004,None,192.24059550000038,None,192.8072416,None,0.6235047000000122,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,3,0.25,0.25,1,right,0,1,1,1,0,13,13,13,193.3239179000002,None,196.32394410000006,None,right,1,196.37394140000015,None,196.45729210000036,None,196.75728760000038,None,0.3429246000000603,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,-0.25,0.25,0,left,0,1,1,1,0,14,14,14,197.2739843000004,None,198.2739974000001,None,left,1,198.30730670000003,None,198.39064540000027,None,199.12403949999998,None,0.7935019999999895,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,1,0.25,0.25,1,right,0,1,1,1,0,15,15,15,199.6407178000004,None,200.6406879000001,None,right,1,200.6740331000001,None,200.75734220000004,None,201.1407352000001,None,0.4266757000000325,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,-0.25,0.25,1,right,0,1,1,1,0,16,16,16,201.6573755000004,None,202.6573731000003,None,right,1,202.6907008000003,None,202.77403960000038,None,203.1240356000003,None,0.3940698000001248,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,3,0.25,-0.25,1,right,0,1,1,1,0,17,17,17,203.6407052000004,None,206.64076220000015,None,right,1,206.69075910000038,None,206.77407330000005,None,207.15746130000025,None,0.42578290000028574,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,1,0.0,0.0,0,left,0,1,1,1,0,18,18,18,207.67410540000037,None,208.67412650000006,None,left,1,208.7074475000004,None,208.79075710000006,None,209.47418830000015,None,0.745321899999908,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,3,0.25,-0.25,1,right,0,1,1,1,0,19,19,19,209.99080520000007,None,212.99082520000002,None,right,1,213.0241729000004,None,213.10753250000016,None,213.5075184000002,None,0.4446128999998109,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,3,0.0,0.0,1,right,0,1,1,1,0,20,20,20,214.02420470000015,None,217.02423160000035,None,right,1,217.07422880000013,None,217.15757440000016,None,217.57424640000045,None,0.45833519999996497,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,3,-0.25,0.25,0,left,0,1,1,1,0,21,21,21,218.09090860000015,None,221.0909545000004,None,left,1,221.14094730000033,None,221.22433440000032,None,221.84095220000017,None,0.6796936999999161,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,2,0.25,0.25,0,left,0,1,1,1,0,22,22,22,222.35764080000035,None,224.35764270000027,None,left,1,224.39096860000018,None,224.4743257,None,225.32434030000013,None,0.9176625999998578,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,2,-0.25,0.25,1,right,0,1,1,1,0,23,23,23,225.84099890000016,None,227.84103810000033,None,right,1,227.8743784000003,None,227.9577022000003,None,228.40772360000028,None,0.4900743000002876,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.05,2,0.25,-0.25,0,left,0,1,1,1,0,24,24,24,228.9244209000003,None,230.92441240000016,None,left,1,230.97441100000015,None,231.05773640000007,None,231.5577661000002,None,0.5582901999996466,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,3,0.25,-0.25,0,left,0,1,1,1,0,25,25,25,232.07442410000021,None,235.07451200000014,None,left,1,235.1078048000004,None,235.19113110000035,None,235.70787260000043,None,0.5687832999997227,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,2,-0.25,0.25,1,right,0,1,1,1,0,26,26,26,236.22448710000026,None,238.22450860000026,None,right,1,238.2578451000004,None,238.34116360000007,None,238.8411784,None,0.5548807000000124,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,3,-0.25,-0.25,0,left,0,1,1,1,0,27,27,27,239.3578690000004,None,242.35789270000032,None,left,1,242.3913107000003,None,242.47455800000034,None,243.39126570000008,None,0.9811725000004117,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.017,3,-0.25,-0.25,0,left,0,1,1,1,0,28,28,28,243.9079227000002,None,246.9079509000003,None,left,1,246.9412871000004,None,247.0246188000001,None,247.6413031000002,None,0.6714175000001887,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,0.028999999999999998,1,-0.25,0.25,0,left,0,1,1,1,0,29,29,29,248.15796890000001,None,249.1579845000001,None,left,1,249.19135000000006,None,249.2746516000002,None,249.75797730000022,None,0.5491243999999824,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-16529098589906454.csv,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,2,0.25,0.25,1,right,0,2,2,2,0,0,0,0,254.62471350000033,None,256.6247734000003,None,right,1,256.65808700000025,None,256.74142200000006,None,257.0914379000001,None,0.39428940000016155,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,1,-0.25,0.25,0,left,0,2,2,2,0,1,1,1,257.6081084000002,None,258.6081299000002,None,left,1,258.6414299000003,None,258.72479380000004,None,259.19141260000015,None,0.50704450000012,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,3,-0.25,0.25,1,right,0,2,2,2,0,2,2,2,259.7081438,None,262.70814740000014,None,right,1,262.7414769000002,None,262.8248189000001,None,263.2082055000001,None,0.42303510000010647,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,3,-0.25,0.25,0,left,0,2,2,2,0,3,3,3,263.72485410000036,None,266.72490100000005,None,left,1,266.75821700000006,None,266.8415358000002,None,267.32487660000015,None,0.5504812000003767,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,1,0.25,0.25,1,right,0,2,2,2,0,4,4,4,267.8415778000003,None,268.8415686000003,None,right,1,268.8749133000001,None,268.9582311000004,269.4082905,269.42495310000004,None,0.5297501999998531,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,3,0.25,-0.25,0,left,0,2,2,2,0,5,5,5,269.94160260000035,None,272.9416812000004,None,left,1,272.97499000000016,None,273.05826700000034,273.50832200000013,273.65832100000034,None,0.6534771999999975,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,1,0.0,0.0,1,right,0,2,2,2,0,6,6,6,274.1749554000003,None,275.1749827000003,None,right,1,275.20832010000004,None,275.2916505000003,None,275.7583447000002,None,0.5161987000001318,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.017,3,0.25,0.25,0,left,0,2,2,2,0,7,7,7,276.27502790000017,None,279.2750411000002,None,right,0,279.3083929000004,None,279.3917150000002,None,280.0250688000001,None,0.688259399999879,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.017,2,-0.25,0.25,0,left,0,2,2,2,0,8,8,8,280.5417421000002,None,282.5417714,None,left,1,282.5751045000002,None,282.65840260000004,283.1084085000002,283.3250857000003,None,0.7333948000000419,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.017,1,-0.25,0.25,0,left,0,2,2,2,0,9,9,9,283.8417539000002,None,284.84179710000035,None,right,0,284.87510710000015,None,284.9584473,285.39177370000016,285.62515470000017,None,0.7215349000002789,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,3,-0.25,0.25,0,left,0,2,2,2,0,10,10,10,286.1418504000003,None,289.14184950000026,None,left,1,289.1751701000003,None,289.25852490000034,289.69179140000006,289.8751868000004,None,0.6773479999997107,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,1,-0.25,-0.25,1,right,0,2,2,2,0,11,11,11,290.39187310000034,None,291.391889,None,left,0,291.4252308,None,291.50853050000023,None,291.8918549,None,0.4273705999999038,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.017,2,0.25,0.25,1,right,0,2,2,2,0,12,12,12,292.4085341,None,294.4085863,None,right,1,294.4419062000002,None,294.52525130000004,None,294.8918942,None,0.41834479999988616,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,2,0.25,0.25,1,right,0,2,2,2,0,13,13,13,295.4086053000001,None,297.4085937,None,right,1,297.44193510000014,None,297.5252948000002,None,297.90863790000003,None,0.42661610000004657,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.017,3,-0.25,-0.25,0,left,0,2,2,2,0,14,14,14,298.42534220000016,None,301.42529360000026,None,left,1,301.45862920000036,None,301.5419791000004,None,302.1753335000003,None,0.6979436999999962,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,3,-0.25,-0.25,1,right,0,2,2,2,0,15,15,15,302.6919985000004,None,305.69202220000034,None,left,0,305.7253700000001,None,305.8086919000002,None,306.17537500000026,None,0.41498279999996157,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
vSAT_stims-1652909858975431.csv,0.028999999999999998,1,-0.25,0.25,0,left,0,2,2,2,0,16,16,16,306.6920249,None,307.6920620000001,None,left,1,307.72539800000004,None,307.8087274000004,308.2420420000003,308.4587531000002,None,0.7030500000000757,01,001,2022_Jun_15_1520,vSAT,2021.2.3,59.97357564258268,
