task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
ZB-match_1-16571317862935221.csv,4,0,left,1,0,1,1,1,0,2,2,2,104.77365280000049,105.2736646000003,left,1,104.77365280000049,104.77365280000049,0.4014274999999543,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,6,0,left,1,0,1,1,1,0,3,3,3,108.27370880000035,108.77371120000043,left,1,108.27370880000035,108.27370880000035,0.37318490000052407,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,4,4,4,111.77375100000063,112.27377570000044,right,1,111.77375100000063,111.77375100000063,0.329333200000292,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,3,0,left,1,0,1,1,1,0,5,5,5,115.27382390000002,115.7738259000007,left,1,115.27382390000002,115.27382390000002,0.3652323999995133,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,8,0,left,1,0,1,1,1,0,6,6,6,118.77388640000026,119.27389440000024,left,1,118.77388640000026,118.77388640000026,0.36924220000037167,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,7,7,7,122.27391630000056,122.77393080000002,right,1,122.27391630000056,122.27391630000056,0.3091154000003371,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,8,8,8,125.77394730000015,126.27402180000081,right,1,125.77394730000015,125.77394730000015,0.40894849999949656,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,5,0,left,1,0,1,1,1,0,9,9,9,129.2740328000009,129.7740384000008,left,1,129.2740328000009,129.2740328000009,0.47701490000054036,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,10,10,10,132.77405790000012,133.27410040000086,right,1,132.77405790000012,132.77405790000012,0.40101810000032856,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,7,0,left,1,0,1,1,1,0,11,11,11,136.2741562000001,136.77416200000062,left,1,136.2741562000001,136.2741562000001,0.3728225000004386,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
